Наименование устройства;Идентификационный номер;Тип устройства;Номер телефона;Адрес, где находится устройство
;;Устройство ГЛОНАСС;9104521261;
;;Устройство ГЛОНАСС;9104504601;
;;Устройство ГЛОНАСС;9104505133;
;;Устройство ГЛОНАСС;9104505534;
;;Устройство ГЛОНАСС;9104530119;
;;Устройство ГЛОНАСС;9104514986;
;;Устройство ГЛОНАСС;9104529367;
;;Устройство ГЛОНАСС;9104527356;
;;Устройство ГЛОНАСС;9104550083;
;;Устройство ГЛОНАСС;9104522230;
;;Устройство ГЛОНАСС;9104541067;
;;Устройство ГЛОНАСС;9104548077;
;;Устройство ГЛОНАСС;9104507675;
;;Устройство ГЛОНАСС;9104531406;
;;Устройство ГЛОНАСС;9104555188;
;;Устройство ГЛОНАСС;9104551915;
;;Устройство ГЛОНАСС;9104506454;
;;Устройство ГЛОНАСС;9104520567;
;;Устройство ГЛОНАСС;9104555251;
;;Устройство ГЛОНАСС;9104536860;
;;Устройство ГЛОНАСС;9104517042;
;;Устройство ГЛОНАСС;9104552347;
;;Устройство ГЛОНАСС;9104538402;
;;Устройство ГЛОНАСС;9104545278;
;;Устройство ГЛОНАСС;9104534973;
;;Устройство ГЛОНАСС;9104509004;
;;Устройство ГЛОНАСС;9104521524;
;;Устройство ГЛОНАСС;9104509790;
;;Устройство ГЛОНАСС;9104509113;
;;Устройство ГЛОНАСС;9104549764;
;;Устройство ГЛОНАСС;9104522608;
;;Устройство ГЛОНАСС;9104510714;
;;Устройство ГЛОНАСС;9104514690;
;;Устройство ГЛОНАСС;9104511758;
;;Устройство ГЛОНАСС;9854251537;
;;Устройство ГЛОНАСС;9854250234;
;;Устройство ГЛОНАСС;9104506249;
;;Устройство ГЛОНАСС;9104521019;
;;Устройство ГЛОНАСС;9104524487;
;;Устройство ГЛОНАСС;9854243734;
;;Устройство ГЛОНАСС;9854247196;
;;Устройство ГЛОНАСС;9854248670;
;;Устройство ГЛОНАСС;9104522723;
;;Устройство ГЛОНАСС;9854243263;
;;Устройство ГЛОНАСС;9854248290;
;;Устройство ГЛОНАСС;9104537427;
;;Устройство ГЛОНАСС;9104512805;
;;Устройство ГЛОНАСС;9104511033;
;;Устройство ГЛОНАСС;9104525527;
;;Устройство ГЛОНАСС;9104507597;
;;Устройство ГЛОНАСС;9854243180;
;;Устройство ГЛОНАСС;9854246379;
;;Устройство ГЛОНАСС;9854245671;
;;Устройство ГЛОНАСС;9854249304;
;;Устройство ГЛОНАСС;9854249839;
;;Устройство ГЛОНАСС;9104505974;
